audiobook_id,book_id,narrator,duration_minutes,audio_format,created_at
1,1,Noah Morgan,201,aac,2025-02-02 10:00:00
2,5,Jack Okafor,886,aac,2025-03-16 10:00:00
3,10,Mason Williams,429,aac,2024-10-07 10:00:00
4,18,Nora Martinez,585,aac,2024-11-08 10:00:00
5,23,Lucas Patel,977,mp3,2025-03-22 10:00:00
6,28,Nora Williams,723,mp3,2024-11-03 10:00:00
7,29,Aiden Singh,421,mp3,2025-02-15 10:00:00
8,38,Emma Johnson,357,mp3,2025-03-23 10:00:00
9,39,Ethan Schmidt,655,aac,2024-07-15 10:00:00
10,40,Jack Patel,822,aac,2025-02-12 10:00:00
11,41,Zoe Martinez,660,aac,2024-11-26 10:00:00
12,45,Emma Nguyen,237,aac,2024-08-14 10:00:00
13,48,Sophia Wilson,652,aac,2025-04-11 10:00:00
14,50,Liam Garcia,473,mp3,2025-03-15 10:00:00
15,55,Jack Taylor,699,aac,2024-09-06 10:00:00
16,56,Amelia Carter,936,mp3,2024-09-12 10:00:00
17,59,Amelia Johnson,509,aac,2024-08-17 10:00:00
18,60,Ava Chen,641,mp3,2024-11-06 10:00:00
19,66,Sophia Brooks,841,mp3,2025-04-10 10:00:00
20,68,Lucas Okafor,629,mp3,2024-10-26 10:00:00
21,69,Aiden Wilson,576,aac,2024-11-08 10:00:00
22,70,Jack Chen,826,aac,2025-03-28 10:00:00
23,71,Chloe Williams,751,aac,2024-12-06 10:00:00
24,72,Emma Taylor,333,aac,2025-03-20 10:00:00
25,77,Amelia Singh,538,aac,2024-10-12 10:00:00
